RegionSegment,RegionSegmentEndUse,Region,Segment,End Use,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLSingle Family,SCLSingle FamilyCool Central,SCL,Single Family,Cool Central,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System)
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseCool Central,SCL,Multifamily - Low Rise,Cool Central,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System)
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseCool Central,SCL,Multifamily - Mid Rise,Cool Central,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System)
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCL,Multifamily - High Rise,Cool Central,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System)
SCLSingle Family,SCLSingle FamilyCool Room,SCL,Single Family,Cool Room,"Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)"
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseCool Room,SCL,Multifamily - Low Rise,Cool Room,"Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)"
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseCool Room,SCL,Multifamily - Mid Rise,Cool Room,"Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)"
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Room,SCL,Multifamily - High Rise,Cool Room,"Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)","Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)"
SCLSingle Family,SCLSingle FamilyCopier,SCL,Single Family,Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseCopier,SCL,Multifamily - Low Rise,Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseCopier,SCL,Multifamily - Mid Rise,Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier,Standard Office Copier
