Segment,End Use,Construction Vintage,Start Fuel Share,End Fuel Share,Start Year,End Year,Interpolate Fuel Share,Customer Class
Multifamily - High Rise Low Income,Circulation - DHW,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Circulation - Hydronic Heating,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Circulation - Hydronic Heating,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Computer - Desktop,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Computer - Desktop,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Computer - Laptop,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Computer - Laptop,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cooking Oven,Existing,0.9302325579999999,0.9302325579999999,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cooking Oven,New,0.9302325579999999,0.9302325579999999,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cooking Range,Existing,0.9302325579999999,0.9302325579999999,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cooking Range,New,0.9302325579999999,0.9302325579999999,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cool Central,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cool Central,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cool Room,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cool Room,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Copier,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Copier,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,DVD Player,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,DVD Player,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Dryer,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Dryer,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Freezer,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Freezer,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Heat Central,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Heat Central,New,0.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Heat Pump,Existing,1.0,1.0,2021,2041,linear,Residential
