Segment,End Use,Construction Vintage,Efficiency Level,Efficiency Description,Start Efficiency Share,End Efficiency Share,Start Year,End Year,Interpolate Efficiency Share,Customer Class
Multifamily - High Rise,Cool Room,New,1,"Below Standard Room AC - CEER 9.7 (8,000-13,999 Btuh)",0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Cool Room,New,2,"Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)",0.46,0.46,2021,2041,linear,Residential
Multifamily - High Rise,Cool Room,New,3,"Room AC - Market Average (8,000-13,999 Btuh)",0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Cool Room,New,4,"ENERGY STAR Room AC - CEER 12.0 (8,000-13,999 Btuh)",0.54,0.54,2021,2041,linear,Residential
Multifamily - High Rise,Copier,Existing,1,Standard Office Copier,0.033333333,0.033333333,2021,2041,linear,Residential
Multifamily - High Rise,Copier,Existing,2,ENERGY STAR Office Copier,0.966666667,0.966666667,2021,2041,linear,Residential
Multifamily - High Rise,Copier,New,1,Standard Office Copier,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Copier,New,2,ENERGY STAR Office Copier,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,DVD Player,Existing,1,Standard DVD Player,0.354479042,0.354479042,2021,2041,linear,Residential
Multifamily - High Rise,DVD Player,Existing,2,ENERGY STAR DVD Player,0.645520958,0.645520958,2021,2041,linear,Residential
Multifamily - High Rise,DVD Player,New,1,Standard DVD Player,0.354479042,0.354479042,2021,2041,linear,Residential
Multifamily - High Rise,DVD Player,New,2,ENERGY STAR DVD Player,0.645520958,0.645520958,2021,2041,linear,Residential
Multifamily - High Rise,Dryer,Existing,1,Market Average Dryer,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Dryer,Existing,2,Below Standard Dryer - CEF 2.72,0.8888888890000001,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Dryer,Existing,3,Federal Standard 2015 Dryer - CEF 3.73,0.111111111,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Dryer,Existing,4,Heat Pump Dryer,0.0,0.0,2021,2041,linear,Residential
