RegionSegment,RegionSegmentEndUse,Region,Segment,End Use,Construction Vintage,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeElectric Vehicles,SCL,Multifamily - Mid Rise Low Income,Electric Vehicles,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyElectric Vehicles,SCL,Single Family,Electric Vehicles,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeElectric Vehicles,SCL,Single Family Low Income,Electric Vehicles,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseFreezer,SCL,Multifamily - High Rise,Freezer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeFreezer,SCL,Multifamily - High Rise Low Income,Freezer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseFreezer,SCL,Multifamily - Low Rise,Freezer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeFreezer,SCL,Multifamily - Low Rise Low Income,Freezer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseFreezer,SCL,Multifamily - Mid Rise,Freezer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeFreezer,SCL,Multifamily - Mid Rise Low Income,Freezer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyFreezer,SCL,Single Family,Freezer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeFreezer,SCL,Single Family Low Income,Freezer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseHeat Central,SCL,Multifamily - High Rise,Heat Central,Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeHeat Central,SCL,Multifamily - High Rise Low Income,Heat Central,Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseHeat Central,SCL,Multifamily - Low Rise,Heat Central,Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeHeat Central,SCL,Multifamily - Low Rise Low Income,Heat Central,Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseHeat Central,SCL,Multifamily - Mid Rise,Heat Central,Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeHeat Central,SCL,Multifamily - Mid Rise Low Income,Heat Central,Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLSingle Family,SCLSingle FamilyHeat Central,SCL,Single Family,Heat Central,Existing,0.022034463,0.021667222,0.021254076,0.020795025,0.020290068,0.019739207,0.01914244,0.018499768,0.017811191,0.017076709,0.016275456,0.015407432,0.014472636,0.01347107,0.012402732,0.011267623,0.009883255,0.008378403,0.006741523,0.004958736,0.00301324
SCLSingle Family Low Income,SCLSingle Family Low IncomeHeat Central,SCL,Single Family Low Income,Heat Central,Existing,0.022034463,0.021667222,0.021254076,0.020795025,0.020290068,0.019739207,0.01914244,0.018499768,0.017811191,0.017076709,0.016275456,0.015407432,0.014472636,0.01347107,0.012402732,0.011267623,0.009883255,0.008378403,0.006741523,0.004958736,0.00301324
SCLMultifamily - High Rise,SCLMultifamily - High RiseHeat Pump,SCL,Multifamily - High Rise,Heat Pump,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeHeat Pump,SCL,Multifamily - High Rise Low Income,Heat Pump,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseHeat Pump,SCL,Multifamily - Low Rise,Heat Pump,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeHeat Pump,SCL,Multifamily - Low Rise Low Income,Heat Pump,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseHeat Pump,SCL,Multifamily - Mid Rise,Heat Pump,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeHeat Pump,SCL,Multifamily - Mid Rise Low Income,Heat Pump,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyHeat Pump,SCL,Single Family,Heat Pump,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeHeat Pump,SCL,Single Family Low Income,Heat Pump,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseHeat Room,SCL,Multifamily - High Rise,Heat Room,Existing,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeHeat Room,SCL,Multifamily - High Rise Low Income,Heat Room,Existing,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseHeat Room,SCL,Multifamily - Low Rise,Heat Room,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeHeat Room,SCL,Multifamily - Low Rise Low Income,Heat Room,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseHeat Room,SCL,Multifamily - Mid Rise,Heat Room,Existing,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeHeat Room,SCL,Multifamily - Mid Rise Low Income,Heat Room,Existing,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222,0.972222222
SCLSingle Family,SCLSingle FamilyHeat Room,SCL,Single Family,Heat Room,Existing,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632
SCLSingle Family Low Income,SCLSingle Family Low IncomeHeat Room,SCL,Single Family Low Income,Heat Room,Existing,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632,0.704041632
SCLMultifamily - High Rise,SCLMultifamily - High RiseHome Audio System,SCL,Multifamily - High Rise,Home Audio System,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeHome Audio System,SCL,Multifamily - High Rise Low Income,Home Audio System,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseHome Audio System,SCL,Multifamily - Low Rise,Home Audio System,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeHome Audio System,SCL,Multifamily - Low Rise Low Income,Home Audio System,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseHome Audio System,SCL,Multifamily - Mid Rise,Home Audio System,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeHome Audio System,SCL,Multifamily - Mid Rise Low Income,Home Audio System,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyHome Audio System,SCL,Single Family,Home Audio System,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeHome Audio System,SCL,Single Family Low Income,Home Audio System,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseLighting Exterior Standard,SCL,Multifamily - High Rise,Lighting Exterior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeLighting Exterior Standard,SCL,Multifamily - High Rise Low Income,Lighting Exterior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseLighting Exterior Standard,SCL,Multifamily - Low Rise,Lighting Exterior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeLighting Exterior Standard,SCL,Multifamily - Low Rise Low Income,Lighting Exterior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseLighting Exterior Standard,SCL,Multifamily - Mid Rise,Lighting Exterior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeLighting Exterior Standard,SCL,Multifamily - Mid Rise Low Income,Lighting Exterior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyLighting Exterior Standard,SCL,Single Family,Lighting Exterior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeLighting Exterior Standard,SCL,Single Family Low Income,Lighting Exterior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseLighting Interior Linear Fluorescent,SCL,Multifamily - High Rise,Lighting Interior Linear Fluorescent,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeLighting Interior Linear Fluorescent,SCL,Multifamily - High Rise Low Income,Lighting Interior Linear Fluorescent,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseLighting Interior Linear Fluorescent,SCL,Multifamily - Low Rise,Lighting Interior Linear Fluorescent,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeLighting Interior Linear Fluorescent,SCL,Multifamily - Low Rise Low Income,Lighting Interior Linear Fluorescent,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseLighting Interior Linear Fluorescent,SCL,Multifamily - Mid Rise,Lighting Interior Linear Fluorescent,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeLighting Interior Linear Fluorescent,SCL,Multifamily - Mid Rise Low Income,Lighting Interior Linear Fluorescent,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyLighting Interior Linear Fluorescent,SCL,Single Family,Lighting Interior Linear Fluorescent,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeLighting Interior Linear Fluorescent,SCL,Single Family Low Income,Lighting Interior Linear Fluorescent,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseLighting Interior Specialty,SCL,Multifamily - High Rise,Lighting Interior Specialty,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeLighting Interior Specialty,SCL,Multifamily - High Rise Low Income,Lighting Interior Specialty,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseLighting Interior Specialty,SCL,Multifamily - Low Rise,Lighting Interior Specialty,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeLighting Interior Specialty,SCL,Multifamily - Low Rise Low Income,Lighting Interior Specialty,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseLighting Interior Specialty,SCL,Multifamily - Mid Rise,Lighting Interior Specialty,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeLighting Interior Specialty,SCL,Multifamily - Mid Rise Low Income,Lighting Interior Specialty,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyLighting Interior Specialty,SCL,Single Family,Lighting Interior Specialty,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeLighting Interior Specialty,SCL,Single Family Low Income,Lighting Interior Specialty,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseLighting Interior Standard,SCL,Multifamily - High Rise,Lighting Interior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeLighting Interior Standard,SCL,Multifamily - High Rise Low Income,Lighting Interior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseLighting Interior Standard,SCL,Multifamily - Low Rise,Lighting Interior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeLighting Interior Standard,SCL,Multifamily - Low Rise Low Income,Lighting Interior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseLighting Interior Standard,SCL,Multifamily - Mid Rise,Lighting Interior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeLighting Interior Standard,SCL,Multifamily - Mid Rise Low Income,Lighting Interior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyLighting Interior Standard,SCL,Single Family,Lighting Interior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeLighting Interior Standard,SCL,Single Family Low Income,Lighting Interior Standard,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseMicrowave,SCL,Multifamily - High Rise,Microwave,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeMicrowave,SCL,Multifamily - High Rise Low Income,Microwave,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseMicrowave,SCL,Multifamily - Low Rise,Microwave,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeMicrowave,SCL,Multifamily - Low Rise Low Income,Microwave,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseMicrowave,SCL,Multifamily - Mid Rise,Microwave,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeMicrowave,SCL,Multifamily - Mid Rise Low Income,Microwave,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyMicrowave,SCL,Single Family,Microwave,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeMicrowave,SCL,Single Family Low Income,Microwave,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseMonitor,SCL,Multifamily - High Rise,Monitor,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeMonitor,SCL,Multifamily - High Rise Low Income,Monitor,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseMonitor,SCL,Multifamily - Low Rise,Monitor,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeMonitor,SCL,Multifamily - Low Rise Low Income,Monitor,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseMonitor,SCL,Multifamily - Mid Rise,Monitor,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeMonitor,SCL,Multifamily - Mid Rise Low Income,Monitor,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyMonitor,SCL,Single Family,Monitor,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeMonitor,SCL,Single Family Low Income,Monitor,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseMultifunction Device,SCL,Multifamily - High Rise,Multifunction Device,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeMultifunction Device,SCL,Multifamily - High Rise Low Income,Multifunction Device,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseMultifunction Device,SCL,Multifamily - Low Rise,Multifunction Device,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeMultifunction Device,SCL,Multifamily - Low Rise Low Income,Multifunction Device,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseMultifunction Device,SCL,Multifamily - Mid Rise,Multifunction Device,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeMultifunction Device,SCL,Multifamily - Mid Rise Low Income,Multifunction Device,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyMultifunction Device,SCL,Single Family,Multifunction Device,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeMultifunction Device,SCL,Single Family Low Income,Multifunction Device,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseOther,SCL,Multifamily - High Rise,Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeOther,SCL,Multifamily - High Rise Low Income,Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseOther,SCL,Multifamily - Low Rise,Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeOther,SCL,Multifamily - Low Rise Low Income,Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseOther,SCL,Multifamily - Mid Rise,Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeOther,SCL,Multifamily - Mid Rise Low Income,Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyOther,SCL,Single Family,Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeOther,SCL,Single Family Low Income,Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RisePlug Load Other,SCL,Multifamily - High Rise,Plug Load Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomePlug Load Other,SCL,Multifamily - High Rise Low Income,Plug Load Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RisePlug Load Other,SCL,Multifamily - Low Rise,Plug Load Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomePlug Load Other,SCL,Multifamily - Low Rise Low Income,Plug Load Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RisePlug Load Other,SCL,Multifamily - Mid Rise,Plug Load Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomePlug Load Other,SCL,Multifamily - Mid Rise Low Income,Plug Load Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyPlug Load Other,SCL,Single Family,Plug Load Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomePlug Load Other,SCL,Single Family Low Income,Plug Load Other,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyPool Pump,SCL,Single Family,Pool Pump,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomePool Pump,SCL,Single Family Low Income,Pool Pump,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RisePrinter,SCL,Multifamily - High Rise,Printer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomePrinter,SCL,Multifamily - High Rise Low Income,Printer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RisePrinter,SCL,Multifamily - Low Rise,Printer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomePrinter,SCL,Multifamily - Low Rise Low Income,Printer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
