RegionSegment,RegionSegmentEndUse,Region,Segment,End Use,Construction Vintage,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLSingle Family Low Income,SCLSingle Family Low IncomeCirculation - Hydronic Heating,SCL,Single Family Low Income,Circulation - Hydronic Heating,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Desktop,SCL,Multifamily - High Rise,Computer - Desktop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeComputer - Desktop,SCL,Multifamily - High Rise Low Income,Computer - Desktop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseComputer - Desktop,SCL,Multifamily - Low Rise,Computer - Desktop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeComputer - Desktop,SCL,Multifamily - Low Rise Low Income,Computer - Desktop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseComputer - Desktop,SCL,Multifamily - Mid Rise,Computer - Desktop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeComputer - Desktop,SCL,Multifamily - Mid Rise Low Income,Computer - Desktop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyComputer - Desktop,SCL,Single Family,Computer - Desktop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeComputer - Desktop,SCL,Single Family Low Income,Computer - Desktop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Laptop,SCL,Multifamily - High Rise,Computer - Laptop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeComputer - Laptop,SCL,Multifamily - High Rise Low Income,Computer - Laptop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseComputer - Laptop,SCL,Multifamily - Low Rise,Computer - Laptop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
