Segment,End Use,Construction Vintage,Start Saturation,End Saturation,Start Year,End Year,Interpolate Saturation,Customer Class
Multifamily - High Rise,Water Heat LE 55 Gal,New,0.269230769,0.7875,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Air Purifier,Existing,0.021865400000000004,0.021865400000000004,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Air Purifier,New,0.021865400000000004,0.021865400000000004,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Circulation - DHW,Existing,0.001067049,0.001067049,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Circulation - DHW,New,0.030401545,0.030401545,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Circulation - Hydronic Heating,Existing,0.0005518830000000001,0.0005518830000000001,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Circulation - Hydronic Heating,New,0.015723817,0.015723817,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Computer - Desktop,Existing,0.384615385,0.384615385,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Computer - Desktop,New,0.384615385,0.384615385,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Computer - Laptop,Existing,0.403846154,0.403846154,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Computer - Laptop,New,0.403846154,0.403846154,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cooking Oven,Existing,0.961538462,0.961538462,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cooking Oven,New,0.961538462,0.961538462,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cooking Range,Existing,0.961538462,0.961538462,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cooking Range,New,0.961538462,0.961538462,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cool Central,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cool Central,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cool Room,Existing,0.1872,0.410178252,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Cool Room,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Copier,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Copier,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,DVD Player,Existing,1.246119,1.246119,2021,2041,linear,Residential
Multifamily - High Rise Low Income,DVD Player,New,1.246119,1.246119,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Dryer,Existing,0.365384615,0.365384615,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Dryer,New,0.365384615,0.365384615,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Freezer,Existing,0.019230768999999998,0.019230768999999998,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Freezer,New,0.019230768999999998,0.019230768999999998,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Heat Central,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Heat Central,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Heat Pump,Existing,0.019230768999999998,0.019230768999999998,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Heat Pump,New,0.05,0.25,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Heat Room,Existing,0.846153846,0.846153846,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Heat Room,New,0.9,0.75,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Home Audio System,Existing,0.538461538,0.538461538,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Home Audio System,New,0.538461538,0.538461538,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Exterior Standard,Existing,0.076923077,0.076923077,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Exterior Standard,New,0.076923077,0.076923077,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Interior Linear Fluorescent,Existing,1.615384615,1.615384615,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Interior Linear Fluorescent,New,1.615384615,1.615384615,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Interior Specialty,Existing,6.461538462,6.461538462,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Interior Specialty,New,6.461538462,6.461538462,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Interior Standard,Existing,9.153846154,9.153846154,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Interior Standard,New,9.153846154,9.153846154,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Microwave,Existing,0.688902,0.688902,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Microwave,New,0.688902,0.688902,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Monitor,Existing,0.326923077,0.326923077,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Monitor,New,0.326923077,0.326923077,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Multifunction Device,Existing,0.887941,0.887941,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Multifunction Device,New,0.887941,0.887941,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Other,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Other,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Plug Load Other,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Plug Load Other,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Printer,Existing,0.346153846,0.346153846,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Printer,New,0.346153846,0.346153846,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Refrigerator,Existing,1.038461538,1.038461538,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Refrigerator,New,1.038461538,1.038461538,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Set Top Box,Existing,0.346153846,0.346153846,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Set Top Box,New,0.346153846,0.346153846,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Television,Existing,0.673076923,0.673076923,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Television,New,0.673076923,0.673076923,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Ventilation - Air,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Ventilation - Air,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Waste Water,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Waste Water,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Water Heat GT 55 Gal,Existing,0.038461537999999997,0.038461537999999997,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Water Heat GT 55 Gal,New,0.038461537999999997,0.1125,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Water Heat LE 55 Gal,Existing,0.269230769,0.269230769,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Water Heat LE 55 Gal,New,0.269230769,0.7875,2021,2041,linear,Residential
Multifamily - Low Rise,Air Purifier,Existing,0.021865400000000004,0.021865400000000004,2021,2041,linear,Residential
Multifamily - Low Rise,Air Purifier,New,0.021865400000000004,0.021865400000000004,2021,2041,linear,Residential
Multifamily - Low Rise,Circulation - DHW,Existing,0.001163283,0.001163283,2021,2041,linear,Residential
Multifamily - Low Rise,Circulation - DHW,New,0.03262026,0.03262026,2021,2041,linear,Residential
Multifamily - Low Rise,Circulation - Hydronic Heating,Existing,0.0005518830000000001,0.0005518830000000001,2021,2041,linear,Residential
Multifamily - Low Rise,Circulation - Hydronic Heating,New,0.015475642,0.015475642,2021,2041,linear,Residential
Multifamily - Low Rise,Computer - Desktop,Existing,0.181818182,0.181818182,2021,2041,linear,Residential
Multifamily - Low Rise,Computer - Desktop,New,0.181818182,0.181818182,2021,2041,linear,Residential
Multifamily - Low Rise,Computer - Laptop,Existing,0.636363636,0.636363636,2021,2041,linear,Residential
Multifamily - Low Rise,Computer - Laptop,New,0.636363636,0.636363636,2021,2041,linear,Residential
Multifamily - Low Rise,Cooking Oven,Existing,0.954545455,0.954545455,2021,2041,linear,Residential
Multifamily - Low Rise,Cooking Oven,New,0.954545455,0.954545455,2021,2041,linear,Residential
Multifamily - Low Rise,Cooking Range,Existing,0.954545455,0.954545455,2021,2041,linear,Residential
Multifamily - Low Rise,Cooking Range,New,0.954545455,0.954545455,2021,2041,linear,Residential
Multifamily - Low Rise,Cool Central,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise,Cool Central,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise,Cool Room,Existing,0.245818182,0.538617907,2021,2041,linear,Residential
Multifamily - Low Rise,Cool Room,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Copier,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise,Copier,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise,DVD Player,Existing,1.246119,1.246119,2021,2041,linear,Residential
Multifamily - Low Rise,DVD Player,New,1.246119,1.246119,2021,2041,linear,Residential
Multifamily - Low Rise,Dryer,Existing,0.13636363599999998,0.13636363599999998,2021,2041,linear,Residential
Multifamily - Low Rise,Dryer,New,0.13636363599999998,0.13636363599999998,2021,2041,linear,Residential
Multifamily - Low Rise,Freezer,Existing,0.090909091,0.090909091,2021,2041,linear,Residential
Multifamily - Low Rise,Freezer,New,0.090909091,0.090909091,2021,2041,linear,Residential
Multifamily - Low Rise,Heat Central,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise,Heat Central,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise,Heat Pump,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise,Heat Pump,New,0.05,0.25,2021,2041,linear,Residential
Multifamily - Low Rise,Heat Room,Existing,0.9090909090000001,0.9090909090000001,2021,2041,linear,Residential
Multifamily - Low Rise,Heat Room,New,0.9,0.75,2021,2041,linear,Residential
Multifamily - Low Rise,Home Audio System,Existing,0.5,0.5,2021,2041,linear,Residential
Multifamily - Low Rise,Home Audio System,New,0.5,0.5,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Exterior Standard,Existing,0.045454545,0.045454545,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Exterior Standard,New,0.045454545,0.045454545,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Interior Linear Fluorescent,Existing,1.636363636,1.636363636,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Interior Linear Fluorescent,New,1.636363636,1.636363636,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Interior Specialty,Existing,3.5,3.5,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Interior Specialty,New,3.5,3.5,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Interior Standard,Existing,12.54545455,12.54545455,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Interior Standard,New,12.54545455,12.54545455,2021,2041,linear,Residential
Multifamily - Low Rise,Microwave,Existing,0.688902,0.688902,2021,2041,linear,Residential
Multifamily - Low Rise,Microwave,New,0.688902,0.688902,2021,2041,linear,Residential
Multifamily - Low Rise,Monitor,Existing,0.363636364,0.363636364,2021,2041,linear,Residential
Multifamily - Low Rise,Monitor,New,0.363636364,0.363636364,2021,2041,linear,Residential
Multifamily - Low Rise,Multifunction Device,Existing,0.887941,0.887941,2021,2041,linear,Residential
Multifamily - Low Rise,Multifunction Device,New,0.887941,0.887941,2021,2041,linear,Residential
Multifamily - Low Rise,Other,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Other,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Plug Load Other,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Plug Load Other,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Printer,Existing,0.318181818,0.318181818,2021,2041,linear,Residential
Multifamily - Low Rise,Printer,New,0.318181818,0.318181818,2021,2041,linear,Residential
Multifamily - Low Rise,Refrigerator,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Refrigerator,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Set Top Box,Existing,0.818181818,0.818181818,2021,2041,linear,Residential
Multifamily - Low Rise,Set Top Box,New,0.818181818,0.818181818,2021,2041,linear,Residential
Multifamily - Low Rise,Television,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Television,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Ventilation - Air,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise,Ventilation - Air,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise,Waste Water,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Waste Water,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Water Heat GT 55 Gal,Existing,0.045454545,0.045454545,2021,2041,linear,Residential
Multifamily - Low Rise,Water Heat GT 55 Gal,New,0.045454545,0.045454545,2021,2041,linear,Residential
Multifamily - Low Rise,Water Heat LE 55 Gal,Existing,0.636363636,0.636363636,2021,2041,linear,Residential
Multifamily - Low Rise,Water Heat LE 55 Gal,New,0.636363636,0.636363636,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Air Purifier,Existing,0.021865400000000004,0.021865400000000004,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Air Purifier,New,0.021865400000000004,0.021865400000000004,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Circulation - DHW,Existing,0.001163283,0.001163283,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Circulation - DHW,New,0.03262026,0.03262026,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Circulation - Hydronic Heating,Existing,0.0005518830000000001,0.0005518830000000001,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Circulation - Hydronic Heating,New,0.015475642,0.015475642,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Computer - Desktop,Existing,0.181818182,0.181818182,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Computer - Desktop,New,0.181818182,0.181818182,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Computer - Laptop,Existing,0.636363636,0.636363636,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Computer - Laptop,New,0.636363636,0.636363636,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cooking Oven,Existing,0.954545455,0.954545455,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cooking Oven,New,0.954545455,0.954545455,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cooking Range,Existing,0.954545455,0.954545455,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cooking Range,New,0.954545455,0.954545455,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cool Central,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cool Central,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cool Room,Existing,0.245818182,0.538617907,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cool Room,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Copier,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Copier,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,DVD Player,Existing,1.246119,1.246119,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,DVD Player,New,1.246119,1.246119,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Dryer,Existing,0.13636363599999998,0.13636363599999998,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Dryer,New,0.13636363599999998,0.13636363599999998,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Freezer,Existing,0.090909091,0.090909091,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Freezer,New,0.090909091,0.090909091,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Heat Central,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Heat Central,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Heat Pump,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Heat Pump,New,0.05,0.25,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Heat Room,Existing,0.9090909090000001,0.9090909090000001,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Heat Room,New,0.9,0.75,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Home Audio System,Existing,0.5,0.5,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Home Audio System,New,0.5,0.5,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Exterior Standard,Existing,0.045454545,0.045454545,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Exterior Standard,New,0.045454545,0.045454545,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Interior Linear Fluorescent,Existing,1.636363636,1.636363636,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Interior Linear Fluorescent,New,1.636363636,1.636363636,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Interior Specialty,Existing,3.5,3.5,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Interior Specialty,New,3.5,3.5,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Interior Standard,Existing,12.54545455,12.54545455,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Interior Standard,New,12.54545455,12.54545455,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Microwave,Existing,0.688902,0.688902,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Microwave,New,0.688902,0.688902,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Monitor,Existing,0.363636364,0.363636364,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Monitor,New,0.363636364,0.363636364,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Multifunction Device,Existing,0.887941,0.887941,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Multifunction Device,New,0.887941,0.887941,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Other,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Other,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Plug Load Other,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Plug Load Other,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Printer,Existing,0.318181818,0.318181818,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Printer,New,0.318181818,0.318181818,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Refrigerator,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Refrigerator,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Set Top Box,Existing,0.818181818,0.818181818,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Set Top Box,New,0.818181818,0.818181818,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Television,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Television,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Ventilation - Air,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Ventilation - Air,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Waste Water,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Waste Water,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Water Heat GT 55 Gal,Existing,0.045454545,0.045454545,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Water Heat GT 55 Gal,New,0.045454545,0.045454545,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Water Heat LE 55 Gal,Existing,0.636363636,0.636363636,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Water Heat LE 55 Gal,New,0.636363636,0.636363636,2021,2041,linear,Residential
Multifamily - Mid Rise,Air Purifier,Existing,0.021865400000000004,0.021865400000000004,2021,2041,linear,Residential
Multifamily - Mid Rise,Air Purifier,New,0.021865400000000004,0.021865400000000004,2021,2041,linear,Residential
Multifamily - Mid Rise,Circulation - DHW,Existing,0.001067049,0.001067049,2021,2041,linear,Residential
Multifamily - Mid Rise,Circulation - DHW,New,0.030401545,0.030401545,2021,2041,linear,Residential
Multifamily - Mid Rise,Circulation - Hydronic Heating,Existing,0.0005518830000000001,0.0005518830000000001,2021,2041,linear,Residential
Multifamily - Mid Rise,Circulation - Hydronic Heating,New,0.015723817,0.015723817,2021,2041,linear,Residential
Multifamily - Mid Rise,Computer - Desktop,Existing,0.384615385,0.384615385,2021,2041,linear,Residential
Multifamily - Mid Rise,Computer - Desktop,New,0.384615385,0.384615385,2021,2041,linear,Residential
Multifamily - Mid Rise,Computer - Laptop,Existing,0.403846154,0.403846154,2021,2041,linear,Residential
Multifamily - Mid Rise,Computer - Laptop,New,0.403846154,0.403846154,2021,2041,linear,Residential
Multifamily - Mid Rise,Cooking Oven,Existing,0.961538462,0.961538462,2021,2041,linear,Residential
Multifamily - Mid Rise,Cooking Oven,New,0.961538462,0.961538462,2021,2041,linear,Residential
