RegionSegment,RegionSegmentEndUse,RegionSegmentEndUseEfficiency,RegionSegmentEndUseEfficiencyVintage,RegionSegmentEndUseEfficiencyDescriptionVintage,RegionSegmentEndUseVintage,Region,Segment,End Use,Efficiency Level,Efficiency Description,Construction Vintage,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - Hydronic Heating,SCLMultifamily - High RiseCirculation - Hydronic Heating2,SCLMultifamily - High RiseCirculation - Hydronic Heating2New,SCLMultifamily - High RiseCirculation - Hydronic HeatingECM Pump Motor - Hydronic HeatingNew,SCLMultifamily - High RiseCirculation - Hydronic HeatingNew,SCL,Multifamily - High Rise,Circulation - Hydronic Heating,2,ECM Pump Motor - Hydronic Heating,New,0,1.168650065,2.454535805,3.673968549,4.626175939,5.604269692,6.754756691,8.011730458,9.337685088,10.59292514,11.76046981,12.93337657,14.11183455,15.29594182,16.48573814,17.68122576,18.88238255,20.08917041,21.30154055,22.51943686,23.74838753
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - Hydronic Heating,SCLMultifamily - High RiseCirculation - Hydronic Heating1,SCLMultifamily - High RiseCirculation - Hydronic Heating1New,SCLMultifamily - High RiseCirculation - Hydronic HeatingMarket Average Hydronic Heating PumpNew,SCLMultifamily - High RiseCirculation - Hydronic HeatingNew,SCL,Multifamily - High Rise,Circulation - Hydronic Heating,1,Market Average Hydronic Heating Pump,New,0,9.77376627,20.52800918,30.72648603,38.69007817,46.87016563,56.49202881,67.00447233,78.09382322,88.59176715,98.35628869,108.165655,118.0214477,127.9244872,137.8751059,147.8733226,157.9189522,168.0116762,178.1510863,188.3367135,198.6147916
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Desktop,SCLMultifamily - High RiseComputer - Desktop2,SCLMultifamily - High RiseComputer - Desktop2Existing,SCLMultifamily - High RiseComputer - DesktopENERGY STAR DesktopExisting,SCLMultifamily - High RiseComputer - DesktopExisting,SCL,Multifamily - High Rise,Computer - Desktop,2,ENERGY STAR Desktop,Existing,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489,3314.387489
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Desktop,SCLMultifamily - High RiseComputer - Desktop1,SCLMultifamily - High RiseComputer - Desktop1Existing,SCLMultifamily - High RiseComputer - DesktopWashington State Code BaselineExisting,SCLMultifamily - High RiseComputer - DesktopExisting,SCL,Multifamily - High Rise,Computer - Desktop,1,Washington State Code Baseline,Existing,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996,13257.54996
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Desktop,SCLMultifamily - High RiseComputer - Desktop2,SCLMultifamily - High RiseComputer - Desktop2New,SCLMultifamily - High RiseComputer - DesktopENERGY STAR DesktopNew,SCLMultifamily - High RiseComputer - DesktopNew,SCL,Multifamily - High Rise,Computer - Desktop,2,ENERGY STAR Desktop,New,0,53.53180594,112.4337715,168.2917559,211.9090736,256.7121559,309.4119748,366.9895832,427.7269656,485.2251584,538.7063301,592.4331205,646.414193,700.65404,755.1544828,809.915624,864.9364503,920.2152164,975.7496873,1031.537293,1087.83126
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Desktop,SCLMultifamily - High RiseComputer - Desktop1,SCLMultifamily - High RiseComputer - Desktop1New,SCLMultifamily - High RiseComputer - DesktopWashington State Code BaselineNew,SCLMultifamily - High RiseComputer - DesktopNew,SCL,Multifamily - High Rise,Computer - Desktop,1,Washington State Code Baseline,New,0,214.1272237,449.7350861,673.1670235,847.6362946,1026.848624,1237.647899,1467.958333,1710.907863,1940.900634,2154.82532,2369.732482,2585.656772,2802.61616,3020.617931,3239.662496,3459.745801,3680.860866,3902.998749,4126.14917,4351.32504
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Laptop,SCLMultifamily - High RiseComputer - Laptop2,SCLMultifamily - High RiseComputer - Laptop2Existing,SCLMultifamily - High RiseComputer - LaptopENERGY STAR NotebookExisting,SCLMultifamily - High RiseComputer - LaptopExisting,SCL,Multifamily - High Rise,Computer - Laptop,2,ENERGY STAR Notebook,Existing,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107,5800.178107
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Laptop,SCLMultifamily - High RiseComputer - Laptop1,SCLMultifamily - High RiseComputer - Laptop1Existing,SCLMultifamily - High RiseComputer - LaptopMarket Average Laptop ComputerExisting,SCLMultifamily - High RiseComputer - LaptopExisting,SCL,Multifamily - High Rise,Computer - Laptop,1,Market Average Laptop Computer,Existing,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621,11600.35621
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Laptop,SCLMultifamily - High RiseComputer - Laptop2,SCLMultifamily - High RiseComputer - Laptop2New,SCLMultifamily - High RiseComputer - LaptopENERGY STAR NotebookNew,SCLMultifamily - High RiseComputer - LaptopNew,SCL,Multifamily - High Rise,Computer - Laptop,2,ENERGY STAR Notebook,New,0,93.68066039,196.7591002,294.5105728,370.8408789,449.2462728,541.4709559,642.2317706,748.5221899,849.1440272,942.7360777,1036.757961,1131.224838,1226.14457,1321.520345,1417.352342,1513.638788,1610.376629,1707.561953,1805.190262,1903.704705
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Laptop,SCLMultifamily - High RiseComputer - Laptop1,SCLMultifamily - High RiseComputer - Laptop1New,SCLMultifamily - High RiseComputer - LaptopMarket Average Laptop ComputerNew,SCLMultifamily - High RiseComputer - LaptopNew,SCL,Multifamily - High Rise,Computer - Laptop,1,Market Average Laptop Computer,New,0,187.3613208,393.5182004,589.0211455,741.6817578,898.4925456,1082.941912,1284.463541,1497.04438,1698.288054,1885.472155,2073.515922,2262.449676,2452.28914,2643.04069,2834.704684,3027.277576,3220.753257,3415.123905,3610.380524,3807.40941
